,Sex,Single Year of Age,Administrative Counties,VALUE
8071,Female,47 years,Kilkenny County Council,802
8072,Female,47 years,Laois County Council,655
8073,Female,47 years,Longford County Council,326
8074,Female,47 years,Louth County Council,1045
8075,Female,47 years,Meath County Council,1786
8076,Female,47 years,Offaly County Council,602
8077,Female,47 years,Westmeath County Council,742
8078,Female,47 years,Wexford County Council,1219
8079,Female,47 years,Wicklow County Council,1250
8080,Female,47 years,Clare County Council,913
8081,Female,47 years,Cork City Council,1468
8082,Female,47 years,Cork County Council,2850
8083,Female,47 years,Kerry County Council,1145
8084,Female,47 years,Limerick City & County Council,1468
8085,Female,47 years,Tipperary County Council,1242
8086,Female,47 years,Waterford City & County Council,944
8087,Female,47 years,Galway City Council,572
8088,Female,47 years,Galway County Council,1484
8089,Female,47 years,Leitrim County Council,249
8090,Female,47 years,Mayo  County Council,945
8091,Female,47 years,Roscommon County Council,502
8092,Female,47 years,Sligo County Council,515
8093,Female,47 years,Cavan County Council,570
8094,Female,47 years,Donegal County Council,1203
8095,Female,47 years,Monaghan County Council,487
8096,Female,48 years,Ireland,37145
8097,Female,48 years,Carlow County Council,430
8098,Female,48 years,Dublin City Council,3737
8099,Female,48 years,Dún Laoghaire Rathdown County Council,1623
8100,Female,48 years,Fingal County Council,2696
8101,Female,48 years,South Dublin County Council,2159
8102,Female,48 years,Kildare County Council,1949
8103,Female,48 years,Kilkenny County Council,765
8104,Female,48 years,Laois County Council,703
8105,Female,48 years,Longford County Council,319
8106,Female,48 years,Louth County Council,1052
8107,Female,48 years,Meath County Council,1734
8108,Female,48 years,Offaly County Council,608
8109,Female,48 years,Westmeath County Council,736
8110,Female,48 years,Wexford County Council,1154
8111,Female,48 years,Wicklow County Council,1225
8112,Female,48 years,Clare County Council,962
8113,Female,48 years,Cork City Council,1417
8114,Female,48 years,Cork County Council,2756
8115,Female,48 years,Kerry County Council,1090
8116,Female,48 years,Limerick City & County Council,1448
8117,Female,48 years,Tipperary County Council,1225
8118,Female,48 years,Waterford City & County Council,913
8119,Female,48 years,Galway City Council,555
8120,Female,48 years,Galway County Council,1484
8121,Female,48 years,Leitrim County Council,256
8122,Female,48 years,Mayo  County Council,958
8123,Female,48 years,Roscommon County Council,484
8124,Female,48 years,Sligo County Council,479
8125,Female,48 years,Cavan County Council,599
8126,Female,48 years,Donegal County Council,1203
8127,Female,48 years,Monaghan County Council,426
8128,Female,49 years,Ireland,37081
8129,Female,49 years,Carlow County Council,493
8130,Female,49 years,Dublin City Council,3703
8131,Female,49 years,Dún Laoghaire Rathdown County Council,1604
8132,Female,49 years,Fingal County Council,2585
8133,Female,49 years,South Dublin County Council,2123
8134,Female,49 years,Kildare County Council,1993
8135,Female,49 years,Kilkenny County Council,798
8136,Female,49 years,Laois County Council,658
8137,Female,49 years,Longford County Council,322
8138,Female,49 years,Louth County Council,1059
8139,Female,49 years,Meath County Council,1699
8140,Female,49 years,Offaly County Council,573
8141,Female,49 years,Westmeath County Council,657
8142,Female,49 years,Wexford County Council,1229
8143,Female,49 years,Wicklow County Council,1215
8144,Female,49 years,Clare County Council,982
8145,Female,49 years,Cork City Council,1376
8146,Female,49 years,Cork County Council,2769
8147,Female,49 years,Kerry County Council,1184
8148,Female,49 years,Limerick City & County Council,1449
8149,Female,49 years,Tipperary County Council,1263
8150,Female,49 years,Waterford City & County Council,917
8151,Female,49 years,Galway City Council,529
8152,Female,49 years,Galway County Council,1504
8153,Female,49 years,Leitrim County Council,254
8154,Female,49 years,Mayo  County Council,967
8155,Female,49 years,Roscommon County Council,455
8156,Female,49 years,Sligo County Council,533
8157,Female,49 years,Cavan County Council,538
8158,Female,49 years,Donegal County Council,1210
8159,Female,49 years,Monaghan County Council,440
8160,Female,50 years,Ireland,36199
8161,Female,50 years,Carlow County Council,454
8162,Female,50 years,Dublin City Council,3721
8163,Female,50 years,Dún Laoghaire Rathdown County Council,1607
8164,Female,50 years,Fingal County Council,2470
8165,Female,50 years,South Dublin County Council,1969
8166,Female,50 years,Kildare County Council,1867
8167,Female,50 years,Kilkenny County Council,777
8168,Female,50 years,Laois County Council,647
8169,Female,50 years,Longford County Council,312
8170,Female,50 years,Louth County Council,1043
8171,Female,50 years,Meath County Council,1710
8172,Female,50 years,Offaly County Council,589
8173,Female,50 years,Westmeath County Council,656
8174,Female,50 years,Wexford County Council,1244
8175,Female,50 years,Wicklow County Council,1179
8176,Female,50 years,Clare County Council,1033
8177,Female,50 years,Cork City Council,1470
8178,Female,50 years,Cork County Council,2655
8179,Female,50 years,Kerry County Council,1097
8180,Female,50 years,Limerick City & County Council,1371
8181,Female,50 years,Tipperary County Council,1174
8182,Female,50 years,Waterford City & County Council,885
8183,Female,50 years,Galway City Council,506
8184,Female,50 years,Galway County Council,1434
8185,Female,50 years,Leitrim County Council,240
8186,Female,50 years,Mayo  County Council,922
8187,Female,50 years,Roscommon County Council,502
8188,Female,50 years,Sligo County Council,487
8189,Female,50 years,Cavan County Council,556
8190,Female,50 years,Donegal County Council,1204
8191,Female,50 years,Monaghan County Council,418
8192,Female,51 years,Ireland,35025
8193,Female,51 years,Carlow County Council,436
8194,Female,51 years,Dublin City Council,3584
8195,Female,51 years,Dún Laoghaire Rathdown County Council,1513
8196,Female,51 years,Fingal County Council,2314
8197,Female,51 years,South Dublin County Council,1940
8198,Female,51 years,Kildare County Council,1718
8199,Female,51 years,Kilkenny County Council,738
8200,Female,51 years,Laois County Council,634
8201,Female,51 years,Longford County Council,330
8202,Female,51 years,Louth County Council,1003
8203,Female,51 years,Meath County Council,1595
8204,Female,51 years,Offaly County Council,593
8205,Female,51 years,Westmeath County Council,667
8206,Female,51 years,Wexford County Council,1160
8207,Female,51 years,Wicklow County Council,1165
8208,Female,51 years,Clare County Council,911
8209,Female,51 years,Cork City Council,1388
8210,Female,51 years,Cork County Council,2582
8211,Female,51 years,Kerry County Council,1075
8212,Female,51 years,Limerick City & County Council,1390
8213,Female,51 years,Tipperary County Council,1177
8214,Female,51 years,Waterford City & County Council,909
8215,Female,51 years,Galway City Council,499
8216,Female,51 years,Galway County Council,1439
8217,Female,51 years,Leitrim County Council,260
8218,Female,51 years,Mayo  County Council,933
8219,Female,51 years,Roscommon County Council,461
8220,Female,51 years,Sligo County Council,440
8221,Female,51 years,Cavan County Council,580
8222,Female,51 years,Donegal County Council,1172
8223,Female,51 years,Monaghan County Council,419
8224,Female,52 years,Ireland,34414
8225,Female,52 years,Carlow County Council,403
8226,Female,52 years,Dublin City Council,3663
8227,Female,52 years,Dún Laoghaire Rathdown County Council,1524
8228,Female,52 years,Fingal County Council,2147
8229,Female,52 years,South Dublin County Council,1843
8230,Female,52 years,Kildare County Council,1676
8231,Female,52 years,Kilkenny County Council,667
8232,Female,52 years,Laois County Council,612
8233,Female,52 years,Longford County Council,305
8234,Female,52 years,Louth County Council,991
8235,Female,52 years,Meath County Council,1510
8236,Female,52 years,Offaly County Council,545
8237,Female,52 years,Westmeath County Council,656
8238,Female,52 years,Wexford County Council,1156
8239,Female,52 years,Wicklow County Council,1150
8240,Female,52 years,Clare County Council,976
8241,Female,52 years,Cork City Council,1392
8242,Female,52 years,Cork County Council,2516
8243,Female,52 years,Kerry County Council,1158
8244,Female,52 years,Limerick City & County Council,1381
8245,Female,52 years,Tipperary County Council,1129
8246,Female,52 years,Waterford City & County Council,871
8247,Female,52 years,Galway City Council,452
8248,Female,52 years,Galway County Council,1369
8249,Female,52 years,Leitrim County Council,259
8250,Female,52 years,Mayo  County Council,996
8251,Female,52 years,Roscommon County Council,478
8252,Female,52 years,Sligo County Council,479
8253,Female,52 years,Cavan County Council,553
8254,Female,52 years,Donegal County Council,1157
8255,Female,52 years,Monaghan County Council,400
8256,Female,53 years,Ireland,32204
8257,Female,53 years,Carlow County Council,385
8258,Female,53 years,Dublin City Council,3291
8259,Female,53 years,Dún Laoghaire Rathdown County Council,1494
8260,Female,53 years,Fingal County Council,2016
8261,Female,53 years,South Dublin County Council,1730
8262,Female,53 years,Kildare County Council,1606
8263,Female,53 years,Kilkenny County Council,719
8264,Female,53 years,Laois County Council,544
8265,Female,53 years,Longford County Council,304
8266,Female,53 years,Louth County Council,920
8267,Female,53 years,Meath County Council,1415
8268,Female,53 years,Offaly County Council,521
8269,Female,53 years,Westmeath County Council,627
8270,Female,53 years,Wexford County Council,1086
8271,Female,53 years,Wicklow County Council,1031
8272,Female,53 years,Clare County Council,870
8273,Female,53 years,Cork City Council,1262
8274,Female,53 years,Cork County Council,2381
8275,Female,53 years,Kerry County Council,1068
8276,Female,53 years,Limerick City & County Council,1206
8277,Female,53 years,Tipperary County Council,1064
8278,Female,53 years,Waterford City & County Council,815
8279,Female,53 years,Galway City Council,479
8280,Female,53 years,Galway County Council,1284
8281,Female,53 years,Leitrim County Council,234
8282,Female,53 years,Mayo  County Council,968
8283,Female,53 years,Roscommon County Council,441
8284,Female,53 years,Sligo County Council,424
8285,Female,53 years,Cavan County Council,491
8286,Female,53 years,Donegal County Council,1143
8287,Female,53 years,Monaghan County Council,385
8288,Female,54 years,Ireland,32168
8289,Female,54 years,Carlow County Council,382
8290,Female,54 years,Dublin City Council,3363
8291,Female,54 years,Dún Laoghaire Rathdown County Council,1497
8292,Female,54 years,Fingal County Council,1936
8293,Female,54 years,South Dublin County Council,1685
8294,Female,54 years,Kildare County Council,1552
8295,Female,54 years,Kilkenny County Council,671
8296,Female,54 years,Laois County Council,545
8297,Female,54 years,Longford County Council,287
8298,Female,54 years,Louth County Council,919
8299,Female,54 years,Meath County Council,1399
8300,Female,54 years,Offaly County Council,522
8301,Female,54 years,Westmeath County Council,618
8302,Female,54 years,Wexford County Council,1107
8303,Female,54 years,Wicklow County Council,1003
8304,Female,54 years,Clare County Council,920
8305,Female,54 years,Cork City Council,1301
8306,Female,54 years,Cork County Council,2383
8307,Female,54 years,Kerry County Council,1053
8308,Female,54 years,Limerick City & County Council,1253
8309,Female,54 years,Tipperary County Council,1129
8310,Female,54 years,Waterford City & County Council,805
8311,Female,54 years,Galway City Council,453
8312,Female,54 years,Galway County Council,1286
8313,Female,54 years,Leitrim County Council,246
8314,Female,54 years,Mayo  County Council,870
8315,Female,54 years,Roscommon County Council,441
8316,Female,54 years,Sligo County Council,448
8317,Female,54 years,Cavan County Council,515
8318,Female,54 years,Donegal County Council,1165
8319,Female,54 years,Monaghan County Council,414
8320,Female,55 years,Ireland,31563
8321,Female,55 years,Carlow County Council,392
8322,Female,55 years,Dublin City Council,3133
8323,Female,55 years,Dún Laoghaire Rathdown County Council,1549
8324,Female,55 years,Fingal County Council,1855
8325,Female,55 years,South Dublin County Council,1632
8326,Female,55 years,Kildare County Council,1529
8327,Female,55 years,Kilkenny County Council,679
8328,Female,55 years,Laois County Council,548
8329,Female,55 years,Longford County Council,315
8330,Female,55 years,Louth County Council,833
8331,Female,55 years,Meath County Council,1335
8332,Female,55 years,Offaly County Council,519
8333,Female,55 years,Westmeath County Council,608
8334,Female,55 years,Wexford County Council,1147
8335,Female,55 years,Wicklow County Council,1033
8336,Female,55 years,Clare County Council,891
8337,Female,55 years,Cork City Council,1271
8338,Female,55 years,Cork County Council,2229
8339,Female,55 years,Kerry County Council,1045
8340,Female,55 years,Limerick City & County Council,1210
8341,Female,55 years,Tipperary County Council,1139
8342,Female,55 years,Waterford City & County Council,814
8343,Female,55 years,Galway City Council,471
8344,Female,55 years,Galway County Council,1234
8345,Female,55 years,Leitrim County Council,233
8346,Female,55 years,Mayo  County Council,938
8347,Female,55 years,Roscommon County Council,474
8348,Female,55 years,Sligo County Council,461
8349,Female,55 years,Cavan County Council,511
8350,Female,55 years,Donegal County Council,1133
8351,Female,55 years,Monaghan County Council,402
8352,Female,56 years,Ireland,31279
8353,Female,56 years,Carlow County Council,418
8354,Female,56 years,Dublin City Council,3208
8355,Female,56 years,Dún Laoghaire Rathdown County Council,1442
8356,Female,56 years,Fingal County Council,1805
8357,Female,56 years,South Dublin County Council,1548
8358,Female,56 years,Kildare County Council,1483
8359,Female,56 years,Kilkenny County Council,674
8360,Female,56 years,Laois County Council,539
8361,Female,56 years,Longford County Council,256
8362,Female,56 years,Louth County Council,875
8363,Female,56 years,Meath County Council,1267
8364,Female,56 years,Offaly County Council,530
8365,Female,56 years,Westmeath County Council,588
8366,Female,56 years,Wexford County Council,1081
8367,Female,56 years,Wicklow County Council,1017
8368,Female,56 years,Clare County Council,911
8369,Female,56 years,Cork City Council,1334
8370,Female,56 years,Cork County Council,2345
8371,Female,56 years,Kerry County Council,1096
8372,Female,56 years,Limerick City & County Council,1218
8373,Female,56 years,Tipperary County Council,1053
8374,Female,56 years,Waterford City & County Council,821
8375,Female,56 years,Galway City Council,445
8376,Female,56 years,Galway County Council,1210
8377,Female,56 years,Leitrim County Council,233
8378,Female,56 years,Mayo  County Council,970
8379,Female,56 years,Roscommon County Council,452
8380,Female,56 years,Sligo County Council,473
8381,Female,56 years,Cavan County Council,488
8382,Female,56 years,Donegal County Council,1136
8383,Female,56 years,Monaghan County Council,363
8384,Female,57 years,Ireland,31764
8385,Female,57 years,Carlow County Council,385
8386,Female,57 years,Dublin City Council,3273
8387,Female,57 years,Dún Laoghaire Rathdown County Council,1500
8388,Female,57 years,Fingal County Council,1773
8389,Female,57 years,South Dublin County Council,1755
8390,Female,57 years,Kildare County Council,1470
8391,Female,57 years,Kilkenny County Council,709
8392,Female,57 years,Laois County Council,532
8393,Female,57 years,Longford County Council,263
8394,Female,57 years,Louth County Council,831
8395,Female,57 years,Meath County Council,1291
8396,Female,57 years,Offaly County Council,528
8397,Female,57 years,Westmeath County Council,646
8398,Female,57 years,Wexford County Council,1178
8399,Female,57 years,Wicklow County Council,1073
8400,Female,57 years,Clare County Council,824
8401,Female,57 years,Cork City Council,1366
8402,Female,57 years,Cork County Council,2305
8403,Female,57 years,Kerry County Council,1085
8404,Female,57 years,Limerick City & County Council,1295
8405,Female,57 years,Tipperary County Council,1076
8406,Female,57 years,Waterford City & County Council,844
8407,Female,57 years,Galway City Council,444
8408,Female,57 years,Galway County Council,1244
8409,Female,57 years,Leitrim County Council,231
8410,Female,57 years,Mayo  County Council,948
8411,Female,57 years,Roscommon County Council,432
8412,Female,57 years,Sligo County Council,448
8413,Female,57 years,Cavan County Council,476
8414,Female,57 years,Donegal County Council,1131
8415,Female,57 years,Monaghan County Council,408
8416,Female,58 years,Ireland,30660
8417,Female,58 years,Carlow County Council,368
8418,Female,58 years,Dublin City Council,3196
8419,Female,58 years,Dún Laoghaire Rathdown County Council,1478
8420,Female,58 years,Fingal County Council,1705
8421,Female,58 years,South Dublin County Council,1644
8422,Female,58 years,Kildare County Council,1407
8423,Female,58 years,Kilkenny County Council,642
8424,Female,58 years,Laois County Council,541
8425,Female,58 years,Longford County Council,232
8426,Female,58 years,Louth County Council,802
8427,Female,58 years,Meath County Council,1242
8428,Female,58 years,Offaly County Council,500
8429,Female,58 years,Westmeath County Council,586
8430,Female,58 years,Wexford County Council,1096
8431,Female,58 years,Wicklow County Council,993
8432,Female,58 years,Clare County Council,848
8433,Female,58 years,Cork City Council,1369
8434,Female,58 years,Cork County Council,2176
8435,Female,58 years,Kerry County Council,1013
8436,Female,58 years,Limerick City & County Council,1225
8437,Female,58 years,Tipperary County Council,1114
8438,Female,58 years,Waterford City & County Council,819
8439,Female,58 years,Galway City Council,411
8440,Female,58 years,Galway County Council,1193
8441,Female,58 years,Leitrim County Council,241
8442,Female,58 years,Mayo  County Council,932
8443,Female,58 years,Roscommon County Council,462
8444,Female,58 years,Sligo County Council,480
8445,Female,58 years,Cavan County Council,496
8446,Female,58 years,Donegal County Council,1055
8447,Female,58 years,Monaghan County Council,394
8448,Female,59 years,Ireland,30000
8449,Female,59 years,Carlow County Council,360
8450,Female,59 years,Dublin City Council,3205
8451,Female,59 years,Dún Laoghaire Rathdown County Council,1499
8452,Female,59 years,Fingal County Council,1669
8453,Female,59 years,South Dublin County Council,1587
8454,Female,59 years,Kildare County Council,1320
8455,Female,59 years,Kilkenny County Council,672
8456,Female,59 years,Laois County Council,466
8457,Female,59 years,Longford County Council,272
8458,Female,59 years,Louth County Council,808
8459,Female,59 years,Meath County Council,1139
8460,Female,59 years,Offaly County Council,467
8461,Female,59 years,Westmeath County Council,574
8462,Female,59 years,Wexford County Council,1067
8463,Female,59 years,Wicklow County Council,970
8464,Female,59 years,Clare County Council,823
8465,Female,59 years,Cork City Council,1354
8466,Female,59 years,Cork County Council,2109
8467,Female,59 years,Kerry County Council,1023
8468,Female,59 years,Limerick City & County Council,1223
8469,Female,59 years,Tipperary County Council,1074
8470,Female,59 years,Waterford City & County Council,818
8471,Female,59 years,Galway City Council,424
8472,Female,59 years,Galway County Council,1175
8473,Female,59 years,Leitrim County Council,214
8474,Female,59 years,Mayo  County Council,881
8475,Female,59 years,Roscommon County Council,453
8476,Female,59 years,Sligo County Council,454
8477,Female,59 years,Cavan County Council,480
8478,Female,59 years,Donegal County Council,1019
8479,Female,59 years,Monaghan County Council,401
8480,Female,60 years,Ireland,29063
8481,Female,60 years,Carlow County Council,317
8482,Female,60 years,Dublin City Council,3065
8483,Female,60 years,Dún Laoghaire Rathdown County Council,1404
8484,Female,60 years,Fingal County Council,1591
8485,Female,60 years,South Dublin County Council,1547
8486,Female,60 years,Kildare County Council,1235
8487,Female,60 years,Kilkenny County Council,643
8488,Female,60 years,Laois County Council,459
8489,Female,60 years,Longford County Council,259
8490,Female,60 years,Louth County Council,727
8491,Female,60 years,Meath County Council,1121
8492,Female,60 years,Offaly County Council,519
8493,Female,60 years,Westmeath County Council,522
8494,Female,60 years,Wexford County Council,1035
8495,Female,60 years,Wicklow County Council,989
8496,Female,60 years,Clare County Council,757
8497,Female,60 years,Cork City Council,1327
8498,Female,60 years,Cork County Council,1978
8499,Female,60 years,Kerry County Council,1055
8500,Female,60 years,Limerick City & County Council,1206
8501,Female,60 years,Tipperary County Council,1055
8502,Female,60 years,Waterford City & County Council,810
8503,Female,60 years,Galway City Council,384
8504,Female,60 years,Galway County Council,1111
8505,Female,60 years,Leitrim County Council,188
8506,Female,60 years,Mayo  County Council,927
8507,Female,60 years,Roscommon County Council,461
8508,Female,60 years,Sligo County Council,433
8509,Female,60 years,Cavan County Council,468
8510,Female,60 years,Donegal County Council,1092
8511,Female,60 years,Monaghan County Council,378
8512,Female,61 years,Ireland,28856
8513,Female,61 years,Carlow County Council,350
8514,Female,61 years,Dublin City Council,2975
8515,Female,61 years,Dún Laoghaire Rathdown County Council,1344
8516,Female,61 years,Fingal County Council,1600
8517,Female,61 years,South Dublin County Council,1542
8518,Female,61 years,Kildare County Council,1257
8519,Female,61 years,Kilkenny County Council,661
8520,Female,61 years,Laois County Council,509
8521,Female,61 years,Longford County Council,261
8522,Female,61 years,Louth County Council,788
8523,Female,61 years,Meath County Council,1085
8524,Female,61 years,Offaly County Council,483
8525,Female,61 years,Westmeath County Council,548
8526,Female,61 years,Wexford County Council,1085
8527,Female,61 years,Wicklow County Council,918
8528,Female,61 years,Clare County Council,737
8529,Female,61 years,Cork City Council,1310
8530,Female,61 years,Cork County Council,2073
8531,Female,61 years,Kerry County Council,990
8532,Female,61 years,Limerick City & County Council,1139
8533,Female,61 years,Tipperary County Council,1030
8534,Female,61 years,Waterford City & County Council,757
8535,Female,61 years,Galway City Council,420
8536,Female,61 years,Galway County Council,1175
8537,Female,61 years,Leitrim County Council,214
8538,Female,61 years,Mayo  County Council,859
8539,Female,61 years,Roscommon County Council,437
8540,Female,61 years,Sligo County Council,469
8541,Female,61 years,Cavan County Council,461
8542,Female,61 years,Donegal County Council,996
8543,Female,61 years,Monaghan County Council,383
8544,Female,62 years,Ireland,27899
8545,Female,62 years,Carlow County Council,380
8546,Female,62 years,Dublin City Council,2866
8547,Female,62 years,Dún Laoghaire Rathdown County Council,1282
8548,Female,62 years,Fingal County Council,1540
8549,Female,62 years,South Dublin County Council,1559
8550,Female,62 years,Kildare County Council,1156
8551,Female,62 years,Kilkenny County Council,638
8552,Female,62 years,Laois County Council,444
8553,Female,62 years,Longford County Council,233
8554,Female,62 years,Louth County Council,706
8555,Female,62 years,Meath County Council,1065
8556,Female,62 years,Offaly County Council,489
8557,Female,62 years,Westmeath County Council,517
8558,Female,62 years,Wexford County Council,974
8559,Female,62 years,Wicklow County Council,873
8560,Female,62 years,Clare County Council,738
8561,Female,62 years,Cork City Council,1244
8562,Female,62 years,Cork County Council,1916
8563,Female,62 years,Kerry County Council,974
8564,Female,62 years,Limerick City & County Council,1196
8565,Female,62 years,Tipperary County Council,987
8566,Female,62 years,Waterford City & County Council,735
8567,Female,62 years,Galway City Council,406
8568,Female,62 years,Galway County Council,1086
8569,Female,62 years,Leitrim County Council,200
8570,Female,62 years,Mayo  County Council,923
8571,Female,62 years,Roscommon County Council,439
8572,Female,62 years,Sligo County Council,508
8573,Female,62 years,Cavan County Council,445
8574,Female,62 years,Donegal County Council,1033
8575,Female,62 years,Monaghan County Council,347
8576,Female,63 years,Ireland,26312
8577,Female,63 years,Carlow County Council,316
8578,Female,63 years,Dublin City Council,2642
8579,Female,63 years,Dún Laoghaire Rathdown County Council,1260
8580,Female,63 years,Fingal County Council,1423
8581,Female,63 years,South Dublin County Council,1452
8582,Female,63 years,Kildare County Council,1121
8583,Female,63 years,Kilkenny County Council,568
8584,Female,63 years,Laois County Council,432
8585,Female,63 years,Longford County Council,237
8586,Female,63 years,Louth County Council,659
8587,Female,63 years,Meath County Council,980
8588,Female,63 years,Offaly County Council,443
8589,Female,63 years,Westmeath County Council,486
8590,Female,63 years,Wexford County Council,918
8591,Female,63 years,Wicklow County Council,811
8592,Female,63 years,Clare County Council,794
8593,Female,63 years,Cork City Council,1167
8594,Female,63 years,Cork County Council,1861
8595,Female,63 years,Kerry County Council,989
8596,Female,63 years,Limerick City & County Council,1046
8597,Female,63 years,Tipperary County Council,930
8598,Female,63 years,Waterford City & County Council,694
8599,Female,63 years,Galway City Council,380
8600,Female,63 years,Galway County Council,1056
8601,Female,63 years,Leitrim County Council,211
8602,Female,63 years,Mayo  County Council,872
8603,Female,63 years,Roscommon County Council,415
8604,Female,63 years,Sligo County Council,396
8605,Female,63 years,Cavan County Council,406
8606,Female,63 years,Donegal County Council,982
8607,Female,63 years,Monaghan County Council,365
8608,Female,64 years,Ireland,26109
8609,Female,64 years,Carlow County Council,323
8610,Female,64 years,Dublin City Council,2624
8611,Female,64 years,Dún Laoghaire Rathdown County Council,1212
8612,Female,64 years,Fingal County Council,1310
8613,Female,64 years,South Dublin County Council,1445
8614,Female,64 years,Kildare County Council,1084
8615,Female,64 years,Kilkenny County Council,558
8616,Female,64 years,Laois County Council,419
8617,Female,64 years,Longford County Council,230
8618,Female,64 years,Louth County Council,658
8619,Female,64 years,Meath County Council,937
8620,Female,64 years,Offaly County Council,405
8621,Female,64 years,Westmeath County Council,498
8622,Female,64 years,Wexford County Council,919
8623,Female,64 years,Wicklow County Council,842
8624,Female,64 years,Clare County Council,719
8625,Female,64 years,Cork City Council,1147
8626,Female,64 years,Cork County Council,1828
8627,Female,64 years,Kerry County Council,1011
8628,Female,64 years,Limerick City & County Council,1109
8629,Female,64 years,Tipperary County Council,974
8630,Female,64 years,Waterford City & County Council,692
8631,Female,64 years,Galway City Council,373
8632,Female,64 years,Galway County Council,1075
8633,Female,64 years,Leitrim County Council,211
8634,Female,64 years,Mayo  County Council,934
8635,Female,64 years,Roscommon County Council,454
8636,Female,64 years,Sligo County Council,438
8637,Female,64 years,Cavan County Council,412
8638,Female,64 years,Donegal County Council,916
8639,Female,64 years,Monaghan County Council,352
8640,Female,65 years,Ireland,25183
8641,Female,65 years,Carlow County Council,306
8642,Female,65 years,Dublin City Council,2545
8643,Female,65 years,Dún Laoghaire Rathdown County Council,1226
8644,Female,65 years,Fingal County Council,1309
8645,Female,65 years,South Dublin County Council,1450
8646,Female,65 years,Kildare County Council,1040
8647,Female,65 years,Kilkenny County Council,543
8648,Female,65 years,Laois County Council,419
8649,Female,65 years,Longford County Council,261
8650,Female,65 years,Louth County Council,678
8651,Female,65 years,Meath County Council,916
8652,Female,65 years,Offaly County Council,400
8653,Female,65 years,Westmeath County Council,488
8654,Female,65 years,Wexford County Council,841
8655,Female,65 years,Wicklow County Council,784
8656,Female,65 years,Clare County Council,650
8657,Female,65 years,Cork City Council,1064
8658,Female,65 years,Cork County Council,1718
8659,Female,65 years,Kerry County Council,926
8660,Female,65 years,Limerick City & County Council,1089
8661,Female,65 years,Tipperary County Council,915
8662,Female,65 years,Waterford City & County Council,641
8663,Female,65 years,Galway City Council,383
8664,Female,65 years,Galway County Council,1039
8665,Female,65 years,Leitrim County Council,222
8666,Female,65 years,Mayo  County Council,856
8667,Female,65 years,Roscommon County Council,404
8668,Female,65 years,Sligo County Council,433
8669,Female,65 years,Cavan County Council,406
8670,Female,65 years,Donegal County Council,881
8671,Female,65 years,Monaghan County Council,350
8672,Female,66 years,Ireland,24662
8673,Female,66 years,Carlow County Council,286
8674,Female,66 years,Dublin City Council,2490
8675,Female,66 years,Dún Laoghaire Rathdown County Council,1166
8676,Female,66 years,Fingal County Council,1300
8677,Female,66 years,South Dublin County Council,1435
8678,Female,66 years,Kildare County Council,1065
8679,Female,66 years,Kilkenny County Council,492
8680,Female,66 years,Laois County Council,389
8681,Female,66 years,Longford County Council,220
8682,Female,66 years,Louth County Council,605
8683,Female,66 years,Meath County Council,872
8684,Female,66 years,Offaly County Council,436
8685,Female,66 years,Westmeath County Council,463
8686,Female,66 years,Wexford County Council,844
8687,Female,66 years,Wicklow County Council,794
8688,Female,66 years,Clare County Council,704
8689,Female,66 years,Cork City Council,1045
8690,Female,66 years,Cork County Council,1762
8691,Female,66 years,Kerry County Council,890
8692,Female,66 years,Limerick City & County Council,1049
8693,Female,66 years,Tipperary County Council,886
8694,Female,66 years,Waterford City & County Council,652
8695,Female,66 years,Galway City Council,341
8696,Female,66 years,Galway County Council,1025
8697,Female,66 years,Leitrim County Council,182
8698,Female,66 years,Mayo  County Council,854
8699,Female,66 years,Roscommon County Council,411
8700,Female,66 years,Sligo County Council,406
8701,Female,66 years,Cavan County Council,424
8702,Female,66 years,Donegal County Council,881
8703,Female,66 years,Monaghan County Council,293
8704,Female,67 years,Ireland,24524
8705,Female,67 years,Carlow County Council,291
8706,Female,67 years,Dublin City Council,2399
8707,Female,67 years,Dún Laoghaire Rathdown County Council,1158
8708,Female,67 years,Fingal County Council,1237
8709,Female,67 years,South Dublin County Council,1403
8710,Female,67 years,Kildare County Council,1098
8711,Female,67 years,Kilkenny County Council,524
8712,Female,67 years,Laois County Council,380
8713,Female,67 years,Longford County Council,213
8714,Female,67 years,Louth County Council,606
8715,Female,67 years,Meath County Council,946
8716,Female,67 years,Offaly County Council,389
8717,Female,67 years,Westmeath County Council,474
8718,Female,67 years,Wexford County Council,847
8719,Female,67 years,Wicklow County Council,778
8720,Female,67 years,Clare County Council,689
8721,Female,67 years,Cork City Council,952
8722,Female,67 years,Cork County Council,1783
8723,Female,67 years,Kerry County Council,944
8724,Female,67 years,Limerick City & County Council,1043
8725,Female,67 years,Tipperary County Council,896
8726,Female,67 years,Waterford City & County Council,656
8727,Female,67 years,Galway City Council,329
8728,Female,67 years,Galway County Council,999
8729,Female,67 years,Leitrim County Council,228
8730,Female,67 years,Mayo  County Council,864
8731,Female,67 years,Roscommon County Council,414
8732,Female,67 years,Sligo County Council,386
8733,Female,67 years,Cavan County Council,374
8734,Female,67 years,Donegal County Council,911
8735,Female,67 years,Monaghan County Council,313
8736,Female,68 years,Ireland,23018
8737,Female,68 years,Carlow County Council,274
8738,Female,68 years,Dublin City Council,2139
8739,Female,68 years,Dún Laoghaire Rathdown County Council,1112
8740,Female,68 years,Fingal County Council,1213
8741,Female,68 years,South Dublin County Council,1350
